id,category,author,title,cover,inventory,threshold,price
447,book,J. D. McClatchy,Poets of the Civil War,,20,10,20.00
448,book,James Weldon Johnson,The Book of American Negro Poetry,,20,10,15.00
449,book,William L. Andrews,Slave Narratives: James Albert Ukawsaw Gronniosaw  Olaudah Equiano  Nat Turner  Frederick Douglass  William Wells Brown  Henry Bibb  Sojourner Truth  William and Ellen Craft  Harriet A. Jacobs  Jacob D. Green (Library of America),,20,10,33.60
450,book,Bill Sherwonit,Denali: A Literary Anthology,,20,10,18.95
451,book,Paul Muldoon,The Best American Poetry 2005,,20,10,15.05
452,book,Paul Krassner,Who's to Say What's Obscene?: Politics  Culture  and Comedy in America Today,,20,10,15.33
453,book,Kevin Killian,Impossible Princess,,20,10,15.95
454,book,Gloria E. Anzaldua,This Bridge We Call Home: Radical Visions for Transformation,,20,10,44.84
455,book,Norine Dresser,Our Own Stories: Readings for Cross-Cultural Communication,,20,10,25.65
456,book,Caryn Mirriam-Goldberg,Sky Begins at Your Feet,,20,10,15.69
457,book,Max Evans,Hot Biscuits: Eighteen Stories by Women and Men of the Ranching West,,20,10,12.95
458,book,Rosalie C. Otero,Santa Fe Nativa: A Collection of Nuevomexicano Writing,,20,10,15.84
459,book,Don Graham,Literary Austin,,20,10,
460,book,Barbara Parisi,The Best American Short Plays 2004-2005,,20,10,15.83
461,book,Nicolas Kanellos,En Otra Voz: Antolog&#237;a de Literatura Hispana de los Estados Unidos,,20,10,8.39
462,book,Marjorie Maddox,Common Wealth,,20,10,33.55
463,book,Nicholas Bakalar,American Satire,,20,10,26.44
464,book,Robert J. Higgs,Appalachia inside Out  Vol. 2,,20,10,17.69
465,book,D. Seth Horton,New Stories from the Southwest,,20,10,19.22
466,book,Andrew Delbanco,Writing New England: An Anthology from the Puritans to the Present,,20,10,1.99
467,book,Nancy Curtis,Crazy Woman Creek: Women Rewrite the American West,,20,10,9.52
468,book,Kim Barnes,Circle of Women: An Anthology of Contemporary Western Women Writers,,20,10,19.95
